venue_name,source,tier,url
Bánh Anh Em,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Bayon,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Bohemian Spirit,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Bonnie's,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Boro6 Wine Bar,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Bungalow,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Burrata,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
C as in Charlie,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Café Mars,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Caleta 111 Cevicheria,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Cardamom,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Cervo's,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Chalong,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Chavela's,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
CheLi,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Cho Dang Gol,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Chuan Tian Xia,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Chutney Masala,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Coqodaq,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Covacha,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Dhamaka,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Dim Sum Go Go,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Gordo's Cantina,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Haenyeo,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
HanGawi,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Win Son,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Zaab Zaab,michelin_bib,,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/the-most-affordable-restaurants-in-new-york-city
Lilia,eater_38,,https://ny.eater.com/maps/best-new-york-restaurants-38
La Vara,eater_38,,https://ny.eater.com/maps/best-new-york-restaurants-38
Hanoi House,eater_38,,https://ny.eater.com/maps/best-new-york-restaurants-38
Noz Market,eater_38,,https://ny.eater.com/maps/best-new-york-restaurants-38
